"address","authors","authorsori","booktitle","date","editor","institution","journal","month","note","pages","publisher","tech","title","type","volume","year"
"?","fahlman s e","fahlman s e","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","fahlman scott","fahlman scott","?","1988","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","fahlman scott","fahlman scott","?","1988","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","fahlman scott","fahlman scott","?","1988","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","fahlman scott","fahlman scott","?","1988","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa usa","s e fahlman","s e fahlman","?","1988","?","computer science department carnegie mellon","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","fahlman s e","fahlman s e","in proceedings of the 1988 connectionist models summer school","1988","?","?","?","?","?","?","morgan kaufmann","?","an empirical study of learning speed in back propagation networks","?","?","?"
"?","fahlman s e","fahlman s e","in proceedings of the 1988 connectionist models summer school","1988","?","?","?","?","?","?","morgan kaufmann","?","an empirical study of learning speed in back propagation networks","?","?","?"
"?","scott e fahlman","scott e fahlman","?","1988","?","cmu department of computer science","?","?","?","?","?","technical report cmu cs 88 162","an empirical strudy of learning speed in back propagation networks","?","?","?"
"?","s fahlman","s fahlman","?","1988","?","carnegie mellon university","?","?","?","?","?","technical report","an empirical study of learning speed in back propagation networks","?","?","?"
"pa","s e fahlman","s e fahlman","?","1988","?","school of computer science carnegie mellon university pitts burgh","?","?","?","?","?","tech nical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"?","s e fahlman","s e fahlman","?","1988","?","cmu cs 88 162 computer science department carnegie mellon university pitts burgh","?","?","?","?","?","tech rep","an empirical study of learning speed in back propagation networks","?","?","?"
"?","s e fahlman","s e fahlman","?","1988","?","carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh usa","s e fahlman","s e fahlman","?","1998","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa","scott e fahlman","scott e fahlman","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","s e fahlman","s e fahlman","?","1988","?","cmu cs tr 88 162 carnegie mellon university","?","?","?","?","?","technical report","an empirical study of learning speed in back propagation networks","?","?","?"
"?","s e fahlman","s e fahlman","?","1988","?","cmu cs tr 88 162 carnegie mellon university","?","?","?","?","?","technical report","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa 15213","scott e fahlman","scott e fahlman","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","scott e fahlman","scott e fahlman","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","fahlman s","fahlman s","?","1988","?","carnegie mellon university","?","?","?","?","?","cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","s e fahlman","s e fahlman","?","1988","?","?","?","?","?","?","?","technical report cmu cs 88 162 carnegie mellon universtity technical report","an empirical study of learning speed in back propagation networks","?","?","?"
"?","s e fahlman","s e fahlman","?","1988","?","?","?","?","?","?","?","tech report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","1988","?","carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"?","s fahlman","s fahlman","?","1988","?","?","?","?","?","?","?","cmu tech report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","s e fahlman","s e fahlman","?","1988","?","carnegie mellon computer science rpt","?","?","?","?","?","cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","fahlman s e","fahlman s e","?","1988","?","carnegie mellon university","?","?","?","?","?","report cmu cs 88 182","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","s e fahlman","s e fahlman","?","1988","?","carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa","scott e fahlman","scott e fahlman","?","1988","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"?","s e fahlman","s e fahlman","?","1988","?","?","?","?","?","?","?","cmu cs 88 162","of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","fahlman scott e","fahlman scott e","?","1988","?","computer science department carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in back propagation networks","?","?","?"
"pittsburgh pa","fahlman scott e","fahlman scott e","?","1988","?","carnegie mellon university computer science department","?","?","?","?","?","?","an empirical study of learnin g speed in backpropagation networks technical report cmu cs 88 162","?","?","?"
"?","scott fahlman","scott fahlman","?","1988","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"?","scott fahlman","scott fahlman","?","1988","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"?","scott fahlman","scott fahlman","?","1988","?","department of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 88 162","an empirical study of learning speed in backpropagation networks","?","?","?"
"pittsburgh pa","fahlman s e and lebiere c","fahlman s e and lebiere c","?","1991","?","carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architecture","?","?","?"
"pittsburgh pa","s e fahlman and c lebiere","s e fahlman and c lebiere","?","1991","?","carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architecture","?","?","?"
"pittsburgh pa","s e fahlman and c lebiere","s e fahlman and c lebiere","?","1991","?","carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architecture","?","?","?"
"pittsburgh pa 15213","fahlman s e lebiere c","fahlman s e lebiere c","?","1990","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architec ture","?","?","?"
"pittsburgh pa 15213","fahlman s e lebiere c","fahlman s e lebiere c","?","1990","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architecture","?","?","?"
"?","fahlman s e and lebiere c","fahlman s e and lebiere c","?","1990","?","carnegie mellon universtity","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architecture","?","?","?"
"pittsburgh pa 15213","fahlman s e and lebiere c","fahlman s e and lebiere c","?","1990","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architecture","?","?","?"
"pittsburgh pa","fahlman s e and lebiere c","fahlman s e and lebiere c","?","1990","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architecture","?","?","?"
"pittsburgh pa","fahlman s e and lebiere c","fahlman s e and lebiere c","?","1990","?","school of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 90 100","the cascade correlation learning architecture","?","?","?"
